Service,Resource Count,Total Attributes,Resource Name,Attribute Count
,,,data_loss_prevention_stored_info_type,21

DatabaseMigrationService,3,113,database_migration_service_connection_profile,85
,,,database_migration_service_migration_job,20
,,,database_migration_service_private_connection,8

Dataflow,2,49,dataflow_flex_template_job,27
,,,dataflow_job,22

Dataform,4,56,dataform_repository,19
,,,dataform_repository_iam,6
,,,dataform_repository_release_config,15
,,,dataform_repository_workflow_config,16

Dataplex,21,302,dataplex_aspect_type,7
,,,dataplex_aspect_type_iam,6
,,,dataplex_asset,23
,,,dataplex_asset_iam,8
,,,dataplex_datascan,81
,,,dataplex_datascan_iam,6
,,,dataplex_entry,26
,,,dataplex_entry_group,6
,,,dataplex_entry_group_iam,6
,,,dataplex_entry_type,10
,,,dataplex_entry_type_iam,6
,,,dataplex_glossary,6
,,,dataplex_glossary_category,8
,,,dataplex_glossary_iam,6
,,,dataplex_glossary_term,8
,,,dataplex_lake,7
,,,dataplex_lake_iam,6
,,,dataplex_task,41
,,,dataplex_task_iam,7
,,,dataplex_zone,21
,,,dataplex_zone_iam,7

Dataproc,9,420,dataproc_autoscaling_policy,16
,,,dataproc_autoscaling_policy_iam,6
,,,dataproc_batch,44
,,,dataproc_cluster,94
,,,dataproc_cluster_iam,6
,,,dataproc_job,47
,,,dataproc_job_iam,6
,,,dataproc_session_template,25
,,,dataproc_workflow_template,176

Dataproc_Metastore,6,80,dataproc_metastore_database_iam,7
,,,dataproc_metastore_federation,9
,,,dataproc_metastore_federation_iam,6
,,,dataproc_metastore_service,44
,,,dataproc_metastore_service_iam,6
,,,dataproc_metastore_table_iam,8

Dataproc_on_GDC,3,51,dataproc_gdc_application_environment,10
,,,dataproc_gdc_service_instance,8
,,,dataproc_gdc_spark_application,33

Datastream,3,204,datastream_connection_profile,57
,,,datastream_private_connection,9
,,,datastream_stream,138

Developer_Connect,4,76,developer_connect_account_connector,7
,,,developer_connect_connection,49
,,,developer_connect_git_repository_link,8
,,,developer_connect_insights_config,12

Dialogflow,5,41,dialogflow_agent,12
,,,dialogflow_encryption_spec,3
,,,dialogflow_entity_type,6
,,,dialogflow_fulfillment,8
,,,dialogflow_intent,12

Dialogflow_CX,13,392,dialogflow_cx_agent,36
,,,dialogflow_cx_entity_type,10
,,,dialogflow_cx_environment,4
,,,dialogflow_cx_flow,81
,,,dialogflow_cx_generative_settings,19
,,,dialogflow_cx_generator,12
,,,dialogflow_cx_intent,18
,,,dialogflow_cx_page,102
,,,dialogflow_cx_security_settings,15
,,,dialogflow_cx_test_case,30
,,,dialogflow_cx_tool,35
,,,dialogflow_cx_version,3
,,,dialogflow_cx_webhook,27

Discovery_Engine,12,134,discovery_engine_chat_engine,15
,,,discovery_engine_cmek_config,6
,,,discovery_engine_control,8
,,,discovery_engine_data_connector,8
,,,discovery_engine_data_store,33
,,,discovery_engine_engine_assistant,10
,,,discovery_engine_license_config,11
,,,discovery_engine_recommendation_engine,18
,,,discovery_engine_schema,5
,,,discovery_engine_search_engine,10
,,,discovery_engine_sitemap,4
,,,discovery_engine_target_site,6

Distributed_Cloud_Edge_Network,3,27,edgenetwork_interconnect_attachment,10
,,,edgenetwork_network,7
,,,edgenetwork_subnet,10

Document_AI,2,7,document_ai_processor,5
,,,document_ai_processor_default_version,2

Document_AI_Warehouse,2,32,document_ai_warehouse_document_schema,26
,,,document_ai_warehouse_location,6

Essential_Contacts,1,4,essential_contacts_contact,4

Eventarc,7,101,eventarc_channel,5
,,,eventarc_enrollment,9
,,,eventarc_google_api_source,9
,,,eventarc_google_channel_config,4
,,,eventarc_message_bus,8
,,,eventarc_pipeline,37
,,,eventarc_trigger,29

Filestore,3,55,filestore_backup,8
,,,filestore_instance,41
,,,filestore_snapshot,6

Firebase,4,19,firebase_android_app,7
,,,firebase_apple_app,7
,,,firebase_project,1
,,,firebase_web_app,4

Firebase_App_Check,7,26,firebase_app_check_app_attest_config,3
,,,firebase_app_check_debug_token,4
,,,firebase_app_check_device_check_config,5
,,,firebase_app_check_play_integrity_config,3
,,,firebase_app_check_recaptcha_enterprise_config,4
,,,firebase_app_check_recaptcha_v3_config,4
,,,firebase_app_check_service_config,3

Firebase_App_Hosting,5,53,firebase_app_hosting_backend,12
,,,firebase_app_hosting_build,20
,,,firebase_app_hosting_default_domain,5
,,,firebase_app_hosting_domain,7
,,,firebase_app_hosting_traffic,9

Firebase_Data_Connect,1,7,firebase_data_connect_service,7

Firebase_Extensions,1,11,firebase_extensions_instance,11

Firebase_Hosting,5,38,firebase_hosting_channel,6
,,,firebase_hosting_custom_domain,6
,,,firebase_hosting_release,5
,,,firebase_hosting_site,3
,,,firebase_hosting_version,18

Firebase_Realtime_Database,1,5,firebase_database_instance,5

Firebaserules,2,9,firebaserules_release,3
,,,firebaserules_ruleset,6

Firestore,5,45,firestore_backup_schedule,5
,,,firestore_database,13
,,,firestore_document,5
,,,firestore_field,9
,,,firestore_index,13

GKEHub,12,229,gke_hub_feature,83
,,,gke_hub_feature_iam,6
,,,gke_hub_feature_membership,82
,,,gke_hub_fleet,9
,,,gke_hub_membership,8
,,,gke_hub_membership_binding,6
,,,gke_hub_membership_iam,6
,,,gke_hub_membership_rbac_role_binding,6
,,,gke_hub_namespace,6
,,,gke_hub_scope,4
,,,gke_hub_scope_iam,5
,,,gke_hub_scope_rbac_role_binding,8

Gemini_for_Google_Cloud,13,90,gemini_code_repository_index,6
,,,gemini_code_tools_setting,11
,,,gemini_code_tools_setting_binding,7
,,,gemini_data_sharing_with_google_setting,6
,,,gemini_data_sharing_with_google_setting_binding,7
,,,gemini_gemini_gcp_enablement_setting,7
,,,gemini_gemini_gcp_enablement_setting_binding,7
,,,gemini_logging_setting,6
,,,gemini_logging_setting_binding,7
,,,gemini_release_channel_setting,5
,,,gemini_release_channel_setting_binding,7
,,,gemini_repository_group,7
,,,gemini_repository_group_iam,7

Google_Cloud_Managed_Lustre,1,10,lustre_instance,10

Google_Cloud_NetApp_Volumes,10,172,netapp_active_directory,21
